Route 660  (Northwest Vista College to University Park & Ride),,,,,,,,
Stop Name,Stop Number,Lat,Lng,,,,,
Rogers Btwn Mt Evans & Wiseman,98507,29.4809020975519,-98.6992680337271,,,,,
Rogers Rs. & Wiseman Blvd,98407,29.477377894493,-98.6938359212671,,,,,
Rogers Opp Chase Service Center,98537,29.4757536815992,-98.6932946731269,,,,,
Rogers Opp Rogers Run,98557,29.470924575671,-98.6916759481604,,,,,
Rogers & Westover Hills,98587,29.4652083729055,-98.6888906431172,,,,,
Rogers & Hyatt Resort Dr,98597,29.4595799778259,-98.6854850065589,,,,,
Rogers Btwn Hyatt Resort Dr & Natio,98607,29.4573506637267,-98.6848321732108,,,,,
Nationwide Dr Btwn Rogers & Sh 151,98609,29.4555414950519,-98.6852549646405,,,,,
Westover Hills & Hwy. 151 (Fs),98869,29.462269649458,-98.6935945484589,,,,,
Ellison Dr. & Westover Hills,16336,29.4617345232951,-98.6971318975385,,,,,
Ellison Dr. & Entrance To Christus Santa Rosa,84729,29.4646082932743,-98.6987825864319,,,,,
Ellison Dr. & Wiseman Blvd.,84749,29.4672140502365,-98.704406648811,,,,,
Northwest Vista College,83439,29.4676745723921,-98.7052417610101,,,,,
